segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
0,-20.0,-0.035714,-19.89071,-0.044643,False
1,-20.0,-0.160714,-19.89071,-0.196429,False
2,-19.89071,-0.044643,-19.781421,-0.0625,False
3,-19.89071,-0.196429,-19.781421,-0.223214,False
4,-19.781421,0.0,-19.672131,-0.008929,False
5,-19.781421,-0.0625,-19.672131,-0.071429,False
6,-19.781421,-0.223214,-19.672131,-0.267857,False
7,-19.672131,-0.008929,-19.562842,-0.053571,False
8,-19.672131,-0.071429,-19.562842,-0.053571,False
9,-19.672131,-0.267857,-19.562842,-0.285714,False
10,-19.562842,-0.053571,-19.453552,-0.053571,False
11,-19.562842,-0.285714,-19.453552,-0.3125,False
12,-19.453552,0.089928,-19.344262,0.089928,False
13,-19.453552,-0.053571,-19.344262,-0.0625,False
14,-19.453552,-0.3125,-19.344262,-0.330357,False
15,-19.344262,0.089928,-19.234973,0.089928,False
16,-19.344262,-0.0625,-19.234973,-0.0625,False
17,-19.344262,-0.330357,-19.234973,-0.339286,False
18,-19.234973,0.089928,-19.125683,0.089928,False
19,-19.234973,-0.0625,-19.125683,-0.026786,False
20,-19.234973,-0.0625,-19.125683,-0.107143,False
21,-19.234973,-0.339286,-19.125683,-0.348214,False
22,-19.125683,0.089928,-19.016393,0.098921,False
23,-19.125683,-0.026786,-19.016393,-0.035714,False
24,-19.125683,-0.107143,-19.016393,-0.035714,False
25,-19.125683,-0.107143,-19.016393,-0.125,False
26,-19.125683,-0.348214,-19.016393,-0.348214,False
27,-19.016393,0.098921,-18.907104,0.098921,False
28,-19.016393,-0.035714,-18.907104,-0.035714,False
29,-19.016393,-0.125,-18.907104,-0.133929,False
30,-19.016393,-0.348214,-18.907104,-0.348214,False
31,-18.907104,0.098921,-18.797814,0.107914,False
32,-18.907104,-0.035714,-18.797814,-0.035714,False
33,-18.907104,-0.133929,-18.797814,-0.142857,False
34,-18.907104,-0.348214,-18.797814,-0.348214,False
35,-18.797814,0.107914,-18.688525,0.116906,False
36,-18.797814,-0.035714,-18.688525,-0.035714,False
37,-18.797814,-0.142857,-18.688525,-0.151786,False
38,-18.797814,-0.348214,-18.688525,-0.339286,False
39,-18.688525,0.116906,-18.579235,0.107914,False
40,-18.688525,-0.035714,-18.579235,-0.044643,False
41,-18.688525,-0.151786,-18.579235,-0.160714,False
42,-18.688525,-0.339286,-18.579235,-0.339286,False
43,-18.579235,0.107914,-18.469945,0.152878,False
44,-18.579235,0.107914,-18.469945,0.089928,False
45,-18.579235,-0.044643,-18.469945,-0.044643,False
46,-18.579235,-0.160714,-18.469945,-0.178571,False
47,-18.579235,-0.339286,-18.469945,-0.348214,False
48,-18.469945,0.152878,-18.360656,0.161871,False
