occurrence_id,deck,deck_path,slide_number,hidden_slide,occurrence_ordinal,asset_kind,object_id,object_name,alt_title,alt_description,decorative,relationship_id,relationship_type,media_path,external,crop,image_format,mime_type,width_px,height_px,bytes,sha256,duplicate_group,duplicate_occurrences
DPN01. Decision Process:s1:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",1,False,1,embedded-image,7,Picture 6,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image1.png,False,,PNG,image/png,1672,941,1633957,65c29b88f625a702652efe844263a6e0f23e3604094c0ed76d6d53d302a28e8f,sha256:65c29b88f625a702,1
DPN01. Decision Process:s4:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",4,False,1,embedded-image,19,Picture 4,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image2.png,False,,PNG,image/png,742,742,12357,2fab781e388213fe79385d21a0576d138538663e44dfbb2c188f65486b097947,sha256:2fab781e388213fe,1
DPN01. Decision Process:s5:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",5,False,1,embedded-image,6,Picture 5,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image3.png,False,,PNG,image/png,1672,941,1494066,c725c06451a3779feead89b1b288c5eb7d72da77037fa4d2d8cb7e84a1c10868,sha256:c725c06451a3779f,1
DPN01. Decision Process:s8:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",8,False,1,embedded-image,9,Picture 9,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image4.png,False,,PNG,image/png,1266,802,815493,fac0673bd8cef39f50af3ed4eb2a138f5505d97cbc0b23d9f93b10b4bc9cda33,sha256:fac0673bd8cef39f,1
DPN01. Decision Process:s8:o2,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",8,False,2,embedded-image,10,Picture 2,,,False,rId4,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image5.png,False,,PNG,image/png,371,371,131073,b8b387cb86c16e795b2ae62582ddc1d4622ff268c25e89da93c174e60ca8bb97,sha256:b8b387cb86c16e79,1
DPN01. Decision Process:s12:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",12,False,1,embedded-image,18,Picture 9,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image6.png,False,,PNG,image/png,450,684,626043,ee9387ee71a0f6bc3e53f86730f68e63e05adc167e237b56629f911de62d92ee,sha256:ee9387ee71a0f6bc,1
DPN01. Decision Process:s14:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",14,False,1,embedded-image,9,slide.url=https://www.polleverywhere.com/multiple_choice_polls/WFGCQ09uLQXWn5PUx9E9q?display_state=instructions&activity_state=opened&state=opened&flow=Engagement&onscreen=persist,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image7.png,False,,PNG,image/png,1600,900,88605,e3a3232eeebc9205fc5cd8cb359f69f65a45dc621c176124fbdecdfb6d21cc8e,sha256:e3a3232eeebc9205,1
DPN01. Decision Process:s14:o2,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",14,False,2,embedded-image,10,Picture 6,,,False,rId4,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image8.png,False,,PNG,image/png,208,206,9686,7239d3b014bfd89ef306a8b0b2664582823e86a39f5410d201c281aa19e6277e,sha256:7239d3b014bfd89e,1
DPN01. Decision Process:s15:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",15,False,1,embedded-image,6,Picture 5,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image9.png,False,,PNG,image/png,1672,941,1389168,c584cfd715f47d99981552c3eb93584a572ecc0f6c89c8ec433b2ccd1f5dffa2,sha256:c584cfd715f47d99,1
DPN01. Decision Process:s19:o1,DPN01. Decision Process.pptx,"/Users/huz/Library/CloudStorage/OneDrive-SyddanskUniversitet/Teaching/Decision, Persuasion, and Negotiation/Notes/Slides 2026/DPN01. Decision Process.pptx",19,False,1,embedded-image,17417,Picture 1,,,False,rId3,http://schemas.openxmlformats.org/officeDocument/2006/relationships/image,ppt/media/image10.png,False,r=21313,PNG,image/png,1448,1086,1344511,969e083838339d18b34ace55e7277425dc271e7dbaf8aa8ec266456a43fe0278,sha256:969e083838339d18,2
